"Antri               ","05.30E","078.13E","26.03N"
"Antu                ","05.30E","081.54E","26.03N"
"Antung              ","08.00E","124.18E","40.10N"
"Antur               ","05.30E","075.18E","20.26N"
"Anupgarli           ","05.30E","073.14E","29.10N"
"Anuppur             ","05.30E","081.45E","23.05N"
"Anupshar            ","05.30E","078.15E","28.22N"
"Anuradhapura (sl)   ","05.30E","080.25E","08.13N"
"Anyang              ","08.00E","114.26E","36.07N"
"Aonla               ","05.30E","079.09E","28.17N"
"Aprunji             ","05.30E","095.50E","28.35N"
"Aqaba (jordan)      ","02.00E","033.00E","29.31N"
"Arachchikattu (sl)  ","05.30E","079.50E","07.37N"
"Arai                ","05.30E","085.21E","24.57N"
"Arakkonam  (tn)     ","05.30E","079.43E","13.05N"
"Arambagh            ","05.30E","087.47E","22.54N"
"Aramda              ","05.30E","069.08E","22.28N"
"Aranayake (sl)      ","05.30E","080.28E","07.05N"
"Arandara (sl)       ","05.30E","080.18E","07.07N"
"Arang (bihar)       ","05.30E","084.05E","25.10N"
"Arang (m.p)         ","05.30E","082.02E","21.14N"
"Arani  (tn)         ","05.30E","079.22E","12.43N"
"Arantangi  (tn)     ","05.30E","079.02E","10.10N"
"Arapau              ","05.30E","081.16E","17.35N"
"Araraj              ","05.30E","084.40E","26.33N"
"Araria              ","05.30E","087.31E","26.09N"
"Araththana (sl)     ","05.30E","080.45E","07.18N"
"Araul               ","05.30E","080.02E","26.55N"
"Aravali hills       ","05.30E","074.00E","26.00N"
"Arcot  (tn)         ","05.30E","079.24E","12.56N"
"Ardnamurchan point  ","00.00W","006.09W","56.43N"
"Argaon              ","05.30E","077.04E","21.10N"
"Ariyalur            ","05.30E","079.04E","11.11N"
"Arjuni              ","05.30E","080.15E","21.04N"
"Arkalgud            ","05.30E","076.03E","12.47N"
"Arki                ","05.30E","066.57E","31.09N"
"Armagon             ","05.30E","080.14E","13.55N"
"Armori              ","05.30E","080.01E","20.30N"
"Armur (ap)          ","05.30E","078.16E","18.48N"
"Arnia khurd         ","05.30E","077.55E","28.08N"
